cds	focus_term	logFC	P.Value	adj.P.Val
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100003_c0_g2_i2:3-398(+)	constDiff	-6.49765910275768	0.000117353085148534	0.00135729168783535
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100003_c0_g3_i3:62-391(-)	constDiff	-2.71897248432894	0.00464930638854636	0.0300767546134723
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100040_c0_g3_i1:42-419(+)	constDiff	5.88815380865769	1.15775162317393e-08	5.41931355316637e-07
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100067_c0_g1_i6:3-323(+)	constDiff	4.81004849282498	9.63067847425868e-07	2.10272529282024e-05
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100080_c0_g1_i1:1-309(-)	constDiff	4.05213143710677	1.68826540916817e-05	0.000249634997151677
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100111_c1_g1_i1:2-970(-)	constDiff	4.03346682588855	8.58952416703378e-06	0.000139977367355658
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100114_c0_g1_i1:260-1666(-)	constDiff	5.45341807572672	3.81286631501165e-07	9.55338950941205e-06
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100114_c0_g1_i4:260-1768(-)	constDiff	8.54220579324907	1.0985582970808e-11	3.29661164637945e-09
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100132_c0_g2_i1:175-831(-)	constDiff	-2.10938223011982	6.34494394038256e-05	0.000794621971179858
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100139_c0_g1_i1:1-360(+)	constDiff	-2.77084297495902	0.00370018114871949	0.0248762960139076
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100169_c0_g3_i1:1-519(-)	constDiff	-6.94093267028559	1.48363751248281e-05	0.000223475065158452
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	constDiff	2.83760481406855	0.00085227704467924	0.00733655696610586
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	constDiff	2.40614691801701	0.0014282526264192	0.0113904176805343
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100247_c0_g3_i1:2-499(+)	constDiff	2.05298431943655	0.00177310487936766	0.0136133802033323
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100482_c0_g1_i1:1-312(+)	constDiff	-2.86593263385203	9.56208020180759e-05	0.00113964805016063
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100499_c1_g1_i1:310-618(+)	constDiff	4.3200883716209	0.000149062937477811	0.00166870311529888
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100678_c0_g1_i1:130-465(-)	constDiff	3.3048604147363	0.0001102849399422	0.00128707877904809
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100690_c0_g1_i1:2-367(+)	constDiff	-7.55745652485418	2.51293962398119e-08	1.01226228703367e-06
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100690_c0_g3_i1:2-367(+)	constDiff	6.77878860640458	8.62087783337598e-09	4.32844100918051e-07
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100693_c0_g1_i1:1-678(-)	constDiff	-3.64183788238128	0.000200957898296981	0.0021597116049346
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100775_c0_g1_i1:2-394(+)	constDiff	-2.47893950488446	1.22343957204686e-05	0.000189139653648188
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100799_c0_g1_i2:2-874(-)	constDiff	-4.44080955464478	0.0037480064436418	0.0251543792968125
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100823_c0_g1_i1:186-1190(+)	constDiff	-4.23347268229072	0.00792461199315926	0.0458549558844825
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100840_c0_g1_i1:403-2313(+)	constDiff	7.18684500898097	1.25747145783064e-06	2.63551584212679e-05
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100840_c0_g1_i2:403-1884(+)	constDiff	2.89770573322228	0.000389288312242783	0.00379399291420704
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100891_c0_g2_i1:293-904(-)	constDiff	6.84879764969723	2.64140750742655e-07	7.04211611707914e-06
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100966_c2_g1_i1:677-1171(+)	constDiff	4.63933106756314	0.00275793839122241	0.0196110494236978
