qseqid	sseqid	evalue	salltitles	tax_id	taxonomy
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100010_c0_g1_i1:198-869(-)	A0A3M7AE65	3.39e-145	GMC_OxRdtase_N domain-containing protein OS=Hortaea werneckii OX=91943 GN=D0867_00590 PE=4 SV=1	91943	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100011_c0_g1_i1:2-2020(+)	A0A4S9ETD7	0	Alcohol oxidase p68 OS=Aureobasidium pullulans OX=5580 GN=D6D10_06367 PE=4 SV=1	5580	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100017_c1_g1_i1:1-507(-)	B8LQZ4	6.14e-85	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100018_c1_g1_i1:1-705(+)	A0A0C9S8J2	4.54e-99	WAT1-related protein OS=Wollemia nobilis OX=56998 PE=3 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100023_c0_g1_i1:514-1233(-)	A9P0U8	1.19e-175	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100044_c0_g1_i1:157-1299(-)	B8LL97	0	PNP_UDP_1 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100055_c0_g1_i1:707-2008(-)	A0A0C9RWX5	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_7749_2288 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100060_c0_g1_i1:539-2017(-)	A0A1D1XPL1	4.11e-120	Non-structural maintenance of chromosomes element 4 OS=Anthurium amnicola OX=1678845 GN=nse4_2 PE=3 SV=1	1678845	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100067_c0_g1_i5:2-394(+)	D5AA61	4.4e-45	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100067_c0_g1_i6:3-323(+)	D5AA61	3.81e-28	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100098_c0_g2_i1:1045-4038(-)	A0A0C9QQU2	0	Serine/threonine-protein phosphatase OS=Wollemia nobilis OX=56998 PE=3 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100111_c1_g1_i1:2-970(-)	A0A2R6XQG9	2.91e-54	Uncharacterized protein OS=Marchantia polymorpha OX=3197 GN=MARPO_0005s0025 PE=4 SV=1	3197	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100113_c0_g4_i1:2-418(+)	A0A453CTN5	2.06e-60	Uncharacterized protein OS=Aegilops tauschii subsp. strangulata OX=200361 PE=4 SV=1	200361	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100114_c0_g1_i1:260-1666(-)	A0A4Y7LDN6	2.12e-163	Amidohydro_3 domain-containing protein OS=Papaver somniferum OX=3469 GN=C5167_045527 PE=4 SV=1	3469	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100114_c0_g1_i4:260-1768(-)	A0A4Y7LDN6	0	Amidohydro_3 domain-containing protein OS=Papaver somniferum OX=3469 GN=C5167_045527 PE=4 SV=1	3469	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100122_c2_g1_i1:2-316(+)	D6QT61	3.73e-64	Elongation factor 1-alpha (Fragment) OS=Rhizoplaca chrysoleuca OX=112062 PE=2 SV=1	112062	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100132_c0_g2_i1:175-831(-)	A9NX38	1.21e-114	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100133_c0_g1_i1:363-1634(+)	D5AA01	0	Purple acid phosphatase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100136_c0_g2_i1:326-2782(-)	W1PWE5	0	Uncharacterized protein OS=Amborella trichopoda OX=13333 GN=AMTR_s00022p00214560 PE=4 SV=1	13333	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100139_c0_g1_i1:1-360(+)	B8LN75	7.23e-58	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100189_c0_g1_i1:83-1045(-)	A0A0N1P1D7	0	ATP synthase subunit gamma, mitochondrial OS=Phialophora attae OX=1664694 GN=AB675_2801 PE=4 SV=1	1664694	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	B8LNR4	5.86e-99	Glyco_hydro_19_cat domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	G9B4E7	2.14e-99	Class VII chitinase OS=Picea engelmannii x Picea glauca OX=373101 GN=Chia7-2 PE=2 SV=1	373101	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100263_c0_g2_i1:340-2256(-)	A9NVW4	1.52e-157	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100266_c0_g1_i1:114-668(+)	A0A0C9RS04	8.49e-71	TSA: Wollemia nobilis Ref_Wollemi_Transcript_15880_863 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100313_c0_g1_i1:2-442(-)	W1PM24	3.19e-62	Peroxidase OS=Amborella trichopoda OX=13333 GN=AMTR_s00018p00156910 PE=3 SV=1	13333	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100347_c0_g1_i1:940-2037(-)	A0A0D6QWS4	1.67e-142	Uncharacterized protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100380_c0_g1_i1:53-1804(-)	U5MY99	0	4-coumarate:CoA ligase OS=Pinus taeda OX=3352 GN=4CL3 PE=2 SV=1	3352	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100446_c0_g1_i1:248-1048(+)	A9NYZ8	0	Methyltransf_11 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100463_c0_g1_i1:810-2408(+)	A5BJT6	0	Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VITISV_037750 PE=4 SV=1	29760	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100466_c0_g1_i1:487-2481(+)	A0A4D6LJ46	0	Protein brassinosteroid insensitive 1 OS=Vigna unguiculata OX=3917 GN=DEO72_LG3g3272 PE=4 SV=1	3917	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100470_c0_g1_i2:28-327(-)	A0A0D2ZX37	7.93e-40	ABC transporter domain-containing protein OS=Brassica oleracea var. oleracea OX=109376 PE=4 SV=1	109376	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100492_c0_g1_i1:357-3335(-)	A0A443N148	0	Kinesin-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_00044300 PE=3 SV=1	337451	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100499_c1_g1_i1:310-618(+)	O65056	5.63e-23	Probable glutathione S-transferase OS=Picea mariana OX=3335 GN=Sb18 PE=2 SV=1	3335	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100510_c0_g1_i1:493-1752(-)	A9NVE3	0	Epimerase domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100554_c0_g1_i1:493-2655(+)	A9NVP8	0	Phenylalanine ammonia-lyase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100561_c0_g3_i1:344-1018(-)	C0PTL2	1.66e-135	H15 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100562_c0_g2_i1:277-777(-)	A9NM84	4.47e-79	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100605_c0_g1_i1:1202-4597(+)	A0A3S4P5A0	0	Putative LRR receptor-like serine/threonine-protein kinase OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01468500 PE=4 SV=1	337451	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100632_c0_g1_i1:708-2630(-)	A0A0C9QVA3	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_6922_2664 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100633_c0_g1_i1:439-1893(-)	A0A0D6QZC8	3.4e-142	Peptidase A1 domain-containing protein OS=Araucaria cunninghamii OX=56994 PE=3 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100687_c0_g1_i1:264-785(-)	E5F6S2	3.19e-126	Flowering locus T-like protein (Fragment) OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100690_c0_g1_i1:2-367(+)	A0A078IW23	9.86e-61	BnaAnng12070D protein OS=Brassica napus OX=3708 GN=BnaAnng12070D PE=4 SV=1	3708	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100690_c0_g3_i1:2-367(+)	A0A078IW23	4.13e-62	BnaAnng12070D protein OS=Brassica napus OX=3708 GN=BnaAnng12070D PE=4 SV=1	3708	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100693_c0_g1_i1:1-678(-)	B8LR43	4.88e-132	Glycosyltransferase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100695_c0_g1_i1:328-858(-)	D5A9D3	5.49e-90	LOB domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100712_c0_g1_i2:341-1882(+)	A0A2R6VY03	4.25e-103	Uncharacterized protein OS=Marchantia polymorpha OX=3197 GN=MARPO_1620s0002 PE=4 SV=1	3197	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100716_c0_g1_i1:24-1115(-)	W2S6Q1	0	ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Cyphellophora europaea CBS 101466 OX=1220924 GN=HMPREF1541_10541 PE=3 SV=1	1220924	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100722_c0_g1_i1:576-2156(+)	U5DE44	1.12e-71	Reticulon-like protein OS=Amborella trichopoda OX=13333 GN=AMTR_s00065p00202980 PE=4 SV=1	13333	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100780_c0_g1_i2:123-1967(-)	A0A0C9QSH0	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_11821_3395 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100799_c0_g1_i2:2-874(-)	B8LQX6	1.98e-48	LRRNT_2 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100813_c1_g1_i1:242-1366(-)	G8C849	0	Thermospermine synthase OS=Pinus sylvestris OX=3349 PE=2 SV=1	3349	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100823_c0_g1_i1:186-1190(+)	A0A517L0Y5	1.56e-153	Uncharacterized protein OS=Venturia effusa OX=50376 GN=FKW77_002682 PE=4 SV=1	50376	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100826_c0_g1_i1:3-935(-)	A0A223PIM7	0	Glycosyltransferase OS=Picea glauca OX=3330 PE=2 SV=1	3330	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100832_c0_g1_i1:398-2806(-)	A0A2H5PIA6	0	Protein kinase domain-containing protein OS=Citrus unshiu OX=55188 GN=CUMW_139220 PE=4 SV=1	55188	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100832_c0_g1_i3:286-2706(-)	A0A5B7BMW9	0	Protein kinase domain-containing protein OS=Davidia involucrata OX=16924 GN=Din_039733 PE=4 SV=1	16924	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100840_c0_g1_i1:403-2313(+)	A0A0D6QX07	3.56e-160	Uncharacterized protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100840_c0_g1_i2:403-1884(+)	A0A0D6QX07	4.69e-51	Uncharacterized protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100852_c1_g1_i1:15-1556(+)	A0A0D2IUV8	0	Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.3, whole genome shotgun sequence OS=Rhinocladiella mackenziei CBS 650.93 OX=1442369 GN=Z518_04917 PE=4 SV=1	1442369	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100875_c0_g1_i1:149-625(-)	Q40868	1.38e-112	Heat shock-like protein OS=Picea glauca OX=3330 GN=hsp18.2-like PE=2 SV=1	3330	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100891_c0_g2_i1:293-904(-)	D5A8X5	3.4e-134	HMA domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100909_c0_g1_i3:94-588(-)	A0A0D1X3V4	1.64e-56	Uncharacterized protein OS=Exophiala sideris OX=1016849 GN=PV11_04397 PE=4 SV=1	1016849	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100921_c0_g1_i1:9-692(-)	Q4W2V5	7.12e-129	Peroxidase OS=Picea abies OX=3329 GN=px4 PE=2 SV=1	3329	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100923_c0_g2_i1:319-1470(-)	A0A0C9S133	0	Beta-amylase OS=Wollemia nobilis OX=56998 PE=3 SV=1	56998	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100932_c0_g1_i1:2-439(+)	D5ACT2	5.68e-98	Acyl-[acyl-carrier-protein] desaturase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100932_c0_g1_i2:1-672(+)	D5ACT2	2.14e-145	Acyl-[acyl-carrier-protein] desaturase OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100938_c0_g1_i2:138-1214(+)	A9NVE3	0	Epimerase domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100951_c0_g1_i1:468-1634(+)	A9NWB0	0	Lipase_GDSL domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100953_c0_g1_i1:459-2048(-)	B8LLP1	0	MFS domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100966_c2_g1_i1:677-1171(+)	D5A7Y8	9.92e-25	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100968_c3_g4_i1:30-845(+)	B8LKN6	1.31e-65	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100980_c0_g1_i1:326-2395(+)	A9NX60	0	STAS domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100982_c0_g1_i1:101-586(-)	A0A4S9P008	3.92e-117	GFA domain-containing protein OS=Aureobasidium pullulans OX=5580 GN=D6C99_00590 PE=4 SV=1	5580	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100986_c0_g2_i1:538-1566(+)	A0A176WIX6	3.88e-70	Uncharacterized protein OS=Marchantia polymorpha subsp. ruderalis OX=1480154 GN=AXG93_4773s1440 PE=4 SV=1	1480154	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101008_c1_g1_i1:430-1218(+)	A9NZI0	0	PHD-type domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101012_c0_g1_i2:3-404(-)	A0A1Y2LR74	1.83e-51	Uncharacterized protein OS=Epicoccum nigrum OX=105696 GN=B5807_08557 PE=4 SV=1	105696	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101015_c0_g1_i1:240-626(-)	A0A094HDL2	2.1e-82	Uncharacterized protein OS=Pseudogymnoascus sp. VKM F-4519 (FW-2642) OX=1420914 GN=V501_03687 PE=3 SV=1	1420914	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101020_c0_g1_i1:931-2073(-)	A0A0D6QZG3	0	AB hydrolase-1 domain-containing protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101026_c0_g1_i2:1-528(+)	B8LS43	1.83e-58	AAA domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101035_c0_g1_i2:260-703(-)	A9NQZ4	2.56e-89	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101049_c0_g1_i1:173-820(+)	A9P1V3	1.46e-135	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101049_c0_g1_i2:173-763(+)	A9P1V3	2.68e-94	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101087_c0_g1_i1:100-477(+)	A0A0G7ZNR0	1.6e-66	Putative flavanone 3-dioxygenase OS=Picea glauca OX=3330 PE=3 SV=1	3330	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101098_c0_g1_i1:248-1753(-)	A0A4Z1PIJ7	3.87e-164	Peroxidase OS=Venturia nashicola OX=86259 GN=E6O75_ATG00494 PE=3 SV=1	86259	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101107_c1_g1_i1:796-1386(+)	A0A199US73	2.63e-67	S-acyltransferase OS=Ananas comosus OX=4615 GN=ACMD2_05220 PE=3 SV=1	4615	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101111_c0_g1_i1:44-1909(-)	A0A0D2FYF2	0	Uncharacterized protein OS=Phialophora americana OX=5601 GN=PV04_03635 PE=4 SV=1	5601	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101121_c0_g1_i1:1040-3052(+)	M5Y0P1	3.15e-103	Uncharacterized protein OS=Prunus persica OX=3760 GN=PRUPE_ppa015102mg PE=4 SV=1	3760	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101127_c0_g1_i1:161-1654(+)	A9NVK5	0	Glutaredoxin domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101128_c0_g2_i1:385-1161(-)	B8LPN4	1.14e-115	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101133_c0_g1_i2:3-503(-)	A0A4S9GYC6	6.13e-100	Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=D6C78_05333 PE=4 SV=1	5580	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101133_c0_g1_i3:132-653(-)	A0A074XAE7	3.7e-106	Uncharacterized protein (Fragment) OS=Aureobasidium pullulans EXF-150 OX=1043002 GN=M438DRAFT_306925 PE=4 SV=1	1043002	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i1:493-1941(+)	W1NZ74	8.36e-112	Uncharacterized protein OS=Amborella trichopoda OX=13333 GN=AMTR_s00135p00069650 PE=3 SV=1	13333	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101148_c0_g2_i3:228-842(+)	A0A061E316	1.15e-29	Phototropic-responsive NPH3 family protein isoform 2 OS=Theobroma cacao OX=3641 GN=TCM_007403 PE=3 SV=1	3641	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101150_c0_g1_i1:538-1128(+)	A0A0D6R9G6	5.63e-62	Response regulatory domain-containing protein OS=Araucaria cunninghamii OX=56994 PE=4 SV=1	56994	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101163_c1_g1_i1:767-4594(+)	M0ZLZ3	0	Uncharacterized protein OS=Solanum tuberosum OX=4113 GN=102587959 PE=4 SV=1	4113	Viridiplantae
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101174_c0_g1_i1:1-1128(+)	U4LD41	1.88e-168	Similar to Probable quinate permease acc. no. A2QQV6 OS=Pyronema omphalodes (strain CBS 100304) OX=1076935 GN=PCON_08026 PE=3 SV=1	1076935	Fungi
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN101179_c0_g1_i1:3-641(+)	A0A0K0M729	9.72e-66	LRK1 OS=Pinus tabuliformis OX=88731 PE=2 SV=1	88731	Viridiplantae
