cds	set	UniProtKB.AC	Taxonomy	GOID	TERM
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100044_c0_g1_i1:157-1299(-)	3	B8LL97	Viridiplantae	GO:0009116	nucleoside metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100060_c0_g1_i1:539-2017(-)	4	A0A1D1XPL1	Viridiplantae	GO:0006310	DNA recombination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100060_c0_g1_i1:539-2017(-)	4	A0A1D1XPL1	Viridiplantae	GO:0006281	DNA repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100098_c0_g2_i1:1045-4038(-)	4	A0A0C9QQU2	Viridiplantae	GO:0009742	brassinosteroid mediated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100136_c0_g2_i1:326-2782(-)	4	W1PWE5	Viridiplantae	GO:0009901	anther dehiscence
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100136_c0_g2_i1:326-2782(-)	4	W1PWE5	Viridiplantae	GO:0010930	negative regulation of auxin mediated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	1	B8LNR4	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	1	B8LNR4	Viridiplantae	GO:0016998	cell wall macromolecule catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	1	B8LNR4	Viridiplantae	GO:0006032	chitin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	1	G9B4E7	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	1	G9B4E7	Viridiplantae	GO:0016998	cell wall macromolecule catabolic process
