cds	UniProtKB.AC	Taxonomy	GOID	TERM
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100044_c0_g1_i1:157-1299(-)	B8LL97	Viridiplantae	GO:0009116	nucleoside metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100060_c0_g1_i1:539-2017(-)	A0A1D1XPL1	Viridiplantae	GO:0006310	DNA recombination
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100060_c0_g1_i1:539-2017(-)	A0A1D1XPL1	Viridiplantae	GO:0006281	DNA repair
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100098_c0_g2_i1:1045-4038(-)	A0A0C9QQU2	Viridiplantae	GO:0009742	brassinosteroid mediated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100136_c0_g2_i1:326-2782(-)	W1PWE5	Viridiplantae	GO:0009901	anther dehiscence
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100136_c0_g2_i1:326-2782(-)	W1PWE5	Viridiplantae	GO:0010930	negative regulation of auxin mediated signaling pathway
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100189_c0_g1_i1:83-1045(-)	A0A0N1P1D7	Fungi	GO:0015986	ATP synthesis coupled proton transport
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	B8LNR4	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	B8LNR4	Viridiplantae	GO:0016998	cell wall macromolecule catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i2:2-733(-)	B8LNR4	Viridiplantae	GO:0006032	chitin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	G9B4E7	Viridiplantae	GO:0005975	carbohydrate metabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	G9B4E7	Viridiplantae	GO:0016998	cell wall macromolecule catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100202_c0_g1_i4:2-721(-)	G9B4E7	Viridiplantae	GO:0006032	chitin catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100313_c0_g1_i1:2-442(-)	W1PM24	Viridiplantae	GO:0042744	hydrogen peroxide catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100313_c0_g1_i1:2-442(-)	W1PM24	Viridiplantae	GO:0006979	response to oxidative stress
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100492_c0_g1_i1:357-3335(-)	A0A443N148	Viridiplantae	GO:0007018	microtubule-based movement
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100554_c0_g1_i1:493-2655(+)	A9NVP8	Viridiplantae	GO:0009800	cinnamic acid biosynthetic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100554_c0_g1_i1:493-2655(+)	A9NVP8	Viridiplantae	GO:0006559	L-phenylalanine catabolic process
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100561_c0_g3_i1:344-1018(-)	C0PTL2	Viridiplantae	GO:0006334	nucleosome assembly
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100716_c0_g1_i1:24-1115(-)	W2S6Q1	Fungi	GO:0046496	nicotinamide nucleotide metabolic process
