cds	logFC.constDiff	adj.P.Val.constDiff	logFC.weevilInd_Q903	adj.P.Val.weevilInd_Q903	set	UniProtKB.AC	evalue	Description	tax_id	Taxonomy	GO
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100003_c0_g1_i1:1-318(+)	-1.09917358101114	0.120543846334852	-2.50380402414638	0.000586152474317241	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100003_c0_g2_i1:2-352(-)	-1.84214222373527	0.0335731251274097	-3.53410155258437	0.000416450501329433	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100003_c0_g2_i2:3-398(+)	-6.49765910275768	0.00135729168783535	-4.92255277940735	0.00151675798232622	8	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100003_c0_g3_i3:62-391(-)	-2.71897248432894	0.0300767546134723	-8.84298732789189	0.000717537352464855	8	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100007_c0_g1_i2:3-344(+)	0.0785639511629135	0.958790070887572	-2.87489445345105	0.00873499829272004	4	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100018_c1_g1_i1:1-705(+)	0.183625643116733	0.843290449639192	-2.83850341157313	0.000514667592174815	4	A0A0C9S8J2	4.54e-99	WAT1-related protein OS=Wollemia nobilis OX=56998 PE=3 SV=1	56998	Viridiplantae	GO:0016021; GO:0022857
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100023_c0_g1_i1:514-1233(-)	-0.696434266447945	0.19459814229419	-2.13750206284555	0.000913771425503135	4	A9P0U8	1.19e-175	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0016021
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100040_c0_g3_i1:42-419(+)	5.88815380865769	5.41931355316637e-07	0.663331009245648	0.608474038886088	1	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100044_c0_g1_i1:157-1299(-)	-2.28546003039043	0.089699192420209	2.98339242957845	0.000851581783878137	3	B8LL97	0	PNP_UDP_1 domain-containing protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	GO:0003824; GO:0009116
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100055_c0_g1_i1:707-2008(-)	-0.485815793100649	0.21137130114501	-2.04449958734858	0.000108938505540271	4	A0A0C9RWX5	0	TSA: Wollemia nobilis Ref_Wollemi_Transcript_7749_2288 transcribed RNA sequence OS=Wollemia nobilis OX=56998 PE=4 SV=1	56998	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100060_c0_g1_i1:539-2017(-)	-0.24953118651405	0.778425958245308	-2.48827901229599	0.00220108975409924	4	A0A1D1XPL1	4.11e-120	Non-structural maintenance of chromosomes element 4 OS=Anthurium amnicola OX=1678845 GN=nse4_2 PE=3 SV=1	1678845	Viridiplantae	GO:0005634; GO:0030915; GO:0006310; GO:0006281
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100067_c0_g1_i6:3-323(+)	4.81004849282498	2.10272529282024e-05	-0.796868781099769	0.564770474714607	1	D5AA61	3.81e-28	Uncharacterized protein OS=Picea sitchensis OX=3332 PE=2 SV=1	3332	Viridiplantae	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100080_c0_g1_i1:1-309(-)	4.05213143710677	0.000249634997151677	-0.611595805669113	0.675855017537975	1	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100098_c0_g2_i1:1045-4038(-)	-0.622694662572993	0.688974532670529	-4.11647819865286	0.0334822934115273	4	A0A0C9QQU2	0	Serine/threonine-protein phosphatase OS=Wollemia nobilis OX=56998 PE=3 SV=1	56998	Viridiplantae	GO:0004721; GO:0009742
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100105_c0_g1_i1:93-560(+)	-0.761190592144864	0.520209381404958	2.60527676753407	0.00146578659075177	3	NA	NA	NA	NA	NA	NA
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100111_c1_g1_i1:2-970(-)	4.03346682588855	0.000139977367355658	1.79202474905662	0.154278272131199	1	A0A2R6XQG9	2.91e-54	Uncharacterized protein OS=Marchantia polymorpha OX=3197 GN=MARPO_0005s0025 PE=4 SV=1	3197	Viridiplantae	GO:0016021; GO:0005886; GO:1903425
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100113_c0_g4_i1:2-418(+)	-0.29821528884946	0.726041447441433	-3.14820828922065	0.00105270597179683	4	A0A453CTN5	2.06e-60	Uncharacterized protein OS=Aegilops tauschii subsp. strangulata OX=200361 PE=4 SV=1	200361	Viridiplantae	GO:0000166
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100114_c0_g1_i1:260-1666(-)	5.45341807572672	9.55338950941205e-06	0.663331009245647	0.652582856363294	1	A0A4Y7LDN6	2.12e-163	Amidohydro_3 domain-containing protein OS=Papaver somniferum OX=3469 GN=C5167_045527 PE=4 SV=1	3469	Viridiplantae	GO:0016810
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100114_c0_g1_i4:260-1768(-)	8.54220579324907	3.29661164637945e-09	0.663331009245647	0.623127267799637	1	A0A4Y7LDN6	0	Amidohydro_3 domain-containing protein OS=Papaver somniferum OX=3469 GN=C5167_045527 PE=4 SV=1	3469	Viridiplantae	GO:0016810
WPW_Inoculation_Trinity_BBMerged_31May2016_TRINITY_DN100122_c2_g1_i1:2-316(+)	0.377670352566233	0.851460872630772	2.73234750376061	0.0266718004298275	3	D6QT61	3.73e-64	Elongation factor 1-alpha (Fragment) OS=Rhizoplaca chrysoleuca OX=112062 PE=2 SV=1	112062	Fungi	GO:0003746
